PM10,PM2.5
103,38
44,22
21,7
45,9
27,14
40,11
42,11
33,12
41,15
46,19
43,20
21,14
10,9
94,25
101,22
80,21
23,10
29,12
83,35
60,28
41,17
53,26
37,22
27,14
24,11
13,11
19,16
32,20
22,6
41,8
40,7
19,8
175,22
82,12
59,18
16,7
60,18
76,19
55,17
35,18
32,17
156,26
242,31
69,14
31,12
20,10
22,12
26,14
21,11
17,9
30,10
40,15
27,15
25,13
17,8
21,8
7,6
26,19
22,15
25,18
31,18
28,15
23,10
17,12
22,15
37,25
47,31
33,23
28,20
17,11
20,13
25,17
100,19
84,18
26,11
12,7
18,11
20,9
14,7
4,3
7,7
19,7
22,15
20,11
34,19
18,10
21,13
11,9
20,14
17,11
21,16
14,10
18,14
16,8
14,11
24,18
25,20
24,19
19,14
23,17
30,20
20,8
8,4
14,9
14,9
9,6
9,4
6,4
6,4
8,4
8,4
7,3
20,13
14,10
19,13
13,9
11,7
37,21
26,19
25,21
19,13
19,15
11,8
11,6
12,5
11,3
10,2
9,4
11,4
12,7
10,5
28,17
20,14
13,7
10,4
6,3
11,5
21,14
28,22
31,22
28,22
19,16
15,11
14,9
19,14
15,8
15,9
13,9
11,5
16,11
15,7
12,7
11,6
14,6
20,12
19,12
17,12
16,8
18,8
15,11
13,9
14,11
17,13
22,14
26,21
20,16
10,4
12,8
21,13
21,13
16,9
12,7
15,8
13,7
9,8
10,5
14,6
20,11
21,11
20,11
23,13
15,6
12,5
10,5
14,9
18,12
20,15
13,8
14,8
14,7
7,5
10,4
19,11
21,14
14,7
15,6
16,7
18,6
19,8
20,11
10,7
9,6
28,19
19,14
21,10
13,6
16,9
11,8
17,7
27,11
18,10
13,6
12,7
14,10
22,11
13,7
19,8
17,12
17,12
22,13
19,8
16,9
11,6
12,6
14,6
10,5
19,11
18,13
17,13
23,17
32,19
18,11
18,11
20,12
27,18
19,10
21,10
17,10
21,14
24,16
15,5
14,7
15,9
17,11
11,7
14,8
11,7
11,8
11,7
15,11
22,17
14,8
11,7
21,12
28,15
14,9
12,7
36,22
20,10
11,8
12,8
18,12
34,16
28,17
16,10
14,8
16,10
34,23
22,15
14,10
49,35
48,20
66,17
49,13
53,21
33,15
13,7
16,7
17,10
10,7
9,5
9,6
9,7
9,6
22,14
11,7
12,9
12,8
16,13
29,20
26,19
24,16
31,22
44,33
55,40
33,24
55,26
13,6
15,7
18,10
60,31
65,36
96,47
59,30
67,32
54,28
35,18
48,23
30,16
22,14
7,4
19,11
22,11
43,22
43,22
60,22
20,9
23,12
36,18
30,13
9,5
15,9
26,12
24,11
36,14
36,15
28,14
42,22
32,20
36,20
34,19
45,26
40,26
55,32
54,32
41,26
10,8
39,22
41,26
28,20
17,13
10,9
20,12
42,25
50,28
32,19
31,14
23,15
21,14
40,21
64,32
30,18
33,19
40,24
26,17
35,20
36,16
45,19
60,30
36,21
43,23
63,33
53,29
52,26
86,43
92,64
38,18
51,32
30,18
54,19
46,18
37,16
61,32
62,32
57,30
46,27
23,17
139,37
123,28
95,29
37,16
55,29
95,51
95,55
81,46
78,47
42,25
29,17
27,16
14,12
19,16
69,50
35,12
43,13
36,14
27,13
279,53
133,35
54,26
37,24
65,29
86,36
80,38
52,31
52,32
249,52
273,60
65,21
32,16
24,20
38,22
38,22
31,18
26,16
47,20
53,24
40,23
40,23
30,17
10,9
12,12
34,26
25,18
32,23
50,28
34,20
32,19
29,22
34,26
41,29
57,37
52,31
40,29
17,13
27,17
44,22
125,43
70,28
28,16
30,17
29,17
32,21
20,15
14,14
19,14
22,13
22,12
49,19
32,23
27,18
38,24
29,23
35,26
32,23
33,26
44,34
35,29
31,25
27,23
27,23
18,16
36,28
34,29
40,27
47,31
21,15
19,15
29,22
23,19
22,18
23,22
12,14
19,17
23,16
24,18
33,24
37,30
37,31
50,37
29,25
21,19
44,30
35,29
33,28
43,31
32,25
25,24
16,16
27,24
11,14
12,12
14,18
10,10
10,15
20,15
31,23
39,29
21,14
11,7
8,3
9,4
15,9
22,14
37,29
38,29
27,20
27,21
27,19
22,15
22,16
19,13
18,13
13,10
14,8
14,8
7,5
4,5
15,10
25,18
34,22
28,19
17,10
25,15
16,10
10,7
29,19
27,20
28,19
31,23
25,18
12,8
12,8
27,17
25,15
21,12
16,6
16,10
12,7
14,9
15,10
22,13
18,8
16,8
17,10
20,10
16,7
18,10
14,10
14,9
24,15
26,17
11,6
6,5
16,12
8,6
17,8
21,12
11,5
17,7
15,6
16,5
16,5
9,6
14,9
18,11
42,26
21,14
28,10
19,9
18,10
21,11
25,7
25,9
19,10
13,6
11,5
18,10
22,10
20,10
22,12
24,15
24,16
34,17
32,14
25,13
28,16
15,5
21,8
19,8
30,14
30,18
36,22
49,31
46,25
30,16
27,14
33,18
41,23
43,23
42,23
32,16
32,19
32,18
18,8
22,9
22,12
25,13
20,12
20,11
19,11
17,10
21,12
36,23
40,27
19,11
19,11
26,12
34,17
35,21
27,17
43,22
20,9
26,13
30,17
35,19
26,17
31,18
18,9
50,28
72,24
64,20
57,23
67,31
48,17
13,10
22,20
10,9
11,9
11,9
19,17
25,23
27,21
40,30
46,39
50,45
59,52
34,35
50,38
22,12
26,14
42,24
73,56
114,95
208,59
119,37
78,32
58,29
59,34
39,22
13,8
18,12
24,13
21,10
23,14
52,31
71,40
69,22
22,11
25,15
50,27
22,12
13,10
24,19
32,19
31,14
46,18
44,15
39,20
53,29
39,15
32,16
44,28
52,38
49,33
64,45
80,59
56,38
24,19
47,37
41,32
43,30
40,25
44,29
47,36
41,27
45,31
36,26
40,14
29,16
37,25
35,25
60,38
30,14
28,16
42,29
46,31
43,24
38,11
43,17
58,32
68,39
74,42
71,35
60,29
59,32
90,44
108,40
65,31
41,12
50,14
31,12
69,13
56,20
54,24
74,40
86,49
63,28
41,19
55,23
163,30
75,18
63,19
37,13
124,52
77,34
70,35
61,30
60,33
49,28
46,27
27,11
18,12
83,76
69,51
43,8
72,15
42,11
36,12
272,36
111,19
48,17
36,17
106,33
79,25
55,16
27,12
27,12
44,17
162,31
96,24
42,13
25,12
24,12
30,15
31,16
24,13
39,12
44,18
30,14
29,12
11,6
3,2
8,3
13,8
26,16
34,19
37,18
40,23
40,22
26,13
26,15
33,19
42,23
29,14
17,9
12,6
18,10
13,6
106,26
94,28
51,20
41,16
30,12
25,10
11,4
4,1
12,6
22,14
25,16
23,13
32,17
27,18
28,17
21,15
24,15
17,11
23,15
24,15
14,10
23,13
21,15
26,15
26,14
27,18
30,21
23,16
36,23
26,15
8,6
14,8
23,15
16,11
13,9
5,2
15,10
9,5
18,8
6,3
11,8
16,11
12,8
5,2
18,12
31,18
16,11
11,7
21,14
22,14
17,10
17,8
15,7
18,6
9,3
8,5
5,2
3,2
15,8
38,25
29,22
10,6
8,4
7,4
8,3
13,9
22,15
22,16
19,15
19,15
18,15
21,17
24,16
17,12
13,8
18,13
17,12
19,10
12,5
9,5
5,3
18,9
25,16
28,20
28,21
28,20
18,12
15,9
14,10
18,13
19,15
13,10
11,8
6,3
10,5
15,7
20,13
24,16
15,10
7,2
10,4
14,8
21,14
17,11
16,9
21,13
16,10
17,10
17,12
17,10
23,15
26,17
23,16
24,15
19,14
8,5
9,7
15,9
8,4
9,5
18,12
23,14
9,5
17,11
18,13
14,9
18,9
17,10
8,5
23,17
43,31
18,14
22,11
16,12
18,13
16,12
32,11
18,11
30,21
14,12
12,9
19,14
23,17
24,16
28,20
30,21
25,19
35,18
29,14
29,18
31,21
15,8
19,10
22,13
30,18
32,22
34,23
41,30
47,24
34,19
32,23
36,24
45,29
43,27
30,18
31,19
29,20
21,17
22,10
27,14
24,17
27,20
17,13
15,12
13,12
17,13
23,16
30,23
30,26
15,10
15,10
30,17
28,18
30,22
31,22
61,36
15,9
10,9
22,17
34,25
31,19
27,20
17,11
18,14
30,22
34,24
30,23
33,24
69,52
64,20
81,28
52,22
41,24
22,17
5,4
12,9
14,10
6,5
10,8
10,9
13,12
19,14
21,17
14,11
17,13
21,17
30,23
42,31
38,30
40,29
56,40
64,50
68,53
49,38
40,27
13,6
16,7
23,13
69,48
83,61
85,53
72,33
74,33
59,30
41,23
67,37
56,39
17,10
11,5
17,11
22,13
49,25
53,25
52,16
15,6
23,13
39,20
22,10
9,4
24,13
28,14
26,9
36,11
32,11
39,19
46,24
32,16
36,19
37,23
47,32
55,36
53,35
50,35
41,26
16,11
49,37
55,41
37,23
19,11
10,6
21,13
47,30
64,41
36,25
31,7
23,10
29,17
39,25
62,40
30,16
28,15
35,20
41,26
40,21
39,12
