PM10,PM2.5
18,8
12,6
13,5
23,12
31,18
28,13
14,4
22,10
20,7
19,9
21,9
21,7
30,16
30,18
33,22
28,14
21,9
12,4
10,3
9,2
11,3
15,5
23,9
29,15
12,3
18,9
20,11
14,6
16,2
9,4
12,4
36,21
43,22
19,7
22,10
17,9
20,9
20,11
39,5
24,9
25,12
12,4
16,5
23,14
27,15
27,13
33,19
29,18
19,13
32,14
25,11
24,15
23,11
15,7
18,6
20,7
26,13
28,19
32,21
42,27
49,28
39,23
34,22
40,32
34,26
39,17
28,13
28,11
40,21
20,7
27,8
19,5
23,11
43,20
16,8
20,11
19,10
19,11
25,16
47,35
55,44
14,9
18,10
38,18
27,14
34,18
33,21
59,29
13,6
16,9
28,18
29,23
27,17
21,15
18,8
20,10
30,19
32,19
42,30
49,37
73,59
63,13
80,16
57,20
63,37
21,8
10,4
15,9
10,4
8,6
12,7
14,9
17,11
30,24
27,22
15,9
18,10
22,15
30,28
34,31
35,31
43,34
54,43
53,43
26,12
29,16
37,27
47,38
72,68
119,89
161,54
103,37
51,25
53,35
55,45
19,12
14,10
17,11
20,10
35,19
50,27
75,30
70,19
27,14
30,17
57,34
29,10
21,9
35,25
40,19
34,10
53,20
42,16
42,19
47,23
47,15
43,19
42,33
60,52
68,59
76,59
50,36
36,23
21,14
41,33
81,71
41,30
34,20
20,11
26,19
36,32
70,70
37,26
37,9
30,15
37,23
38,23
51,33
36,16
36,23
44,34
35,28
37,19
54,10
35,11
52,33
46,32
55,40
61,39
48,20
35,23
54,33
91,54
38,12
32,5
42,8
51,8
57,9
53,22
61,29
98,78
54,39
61,39
68,35
173,41
136,22
98,23
51,13
50,21
58,29
78,40
93,49
95,47
98,51
61,32
65,40
58,33
14,9
66,53
67,35
43,5
63,13
44,13
113,17
256,22
203,25
103,21
51,18
106,29
101,29
49,23
40,24
13,8
98,17
59,13
56,15
60,17
36,14
26,11
34,19
34,15
23,11
37,13
32,13
38,15
47,21
47,26
11,6
17,9
32,21
38,22
44,24
51,31
47,22
45,28
37,22
20,10
38,21
58,37
31,17
34,19
23,11
26,15
95,25
147,31
43,11
38,17
33,14
33,15
22,14
9,4
16,6
31,15
33,17
33,20
28,15
36,13
37,21
29,16
19,9
26,16
14,7
24,12
30,19
24,14
28,16
24,14
22,13
29,18
20,12
17,9
33,18
44,29
41,27
13,6
21,11
42,28
40,29
33,22
20,13
15,6
23,12
21,12
24,12
16,8
28,18
40,34
34,24
47,29
44,27
17,9
21,14
36,26
21,13
21,12
20,14
26,17
33,20
28,14
24,11
25,11
43,27
45,34
54,43
37,29
10,6
17,11
19,12
12,6
24,17
32,26
23,19
14,8
29,23
33,25
33,25
23,19
18,14
19,14
23,14
9,4
8,4
9,5
4,2
9,6
19,12
34,22
35,26
25,18
17,11
27,19
29,24
22,16
26,19
29,21
18,13
10,5
10,3
23,12
33,21
32,21
15,10
14,8
21,9
21,9
27,15
31,20
24,17
19,12
25,15
29,17
22,13
22,13
33,19
25,18
23,17
28,18
27,18
9,3
12,7
14,6
13,7
18,10
26,16
20,15
11,5
26,13
26,14
15,7
14,7
9,5
13,8
48,37
28,14
32,16
24,10
19,11
24,16
25,16
35,8
25,10
28,15
17,9
14,8
28,16
32,17
32,20
34,23
23,14
25,16
45,17
38,17
34,18
34,21
20,8
18,9
28,13
34,20
33,20
29,21
45,35
38,18
47,24
36,21
41,26
37,28
49,29
39,23
45,20
65,22
12,8
22,12
19,9
24,15
32,20
15,9
19,12
19,12
22,14
27,17
48,38
43,39
18,9
26,16
39,26
28,17
35,28
42,34
87,54
15,8
22,14
36,28
43,29
24,16
15,10
16,8
26,14
35,23
42,28
48,34
54,43
68,60
76,22
95,29
82,38
45,19
7,3
7,4
18,13
9,6
4,2
18,11
15,8
18,11
28,20
40,29
19,13
19,12
26,19
31,28
42,38
54,42
76,66
53,46
43,38
38,36
28,22
46,34
15,7
17,9
29,17
68,50
80,60
194,48
115,29
63,26
38,18
32,18
29,15
11,5
14,8
21,9
15,6
15,8
37,20
48,21
55,15
15,7
18,10
27,11
15,9
27,12
26,10
40,11
37,11
21,10
36,18
27,10
23,11
36,22
37,25
32,22
48,34
57,42
41,28
19,11
33,24
37,28
40,28
31,19
33,21
34,25
20,13
33,19
34,20
31,7
21,11
24,15
24,15
45,29
23,11
21,10
24,15
20,12
27,15
28,9
28,10
43,23
50,30
46,27
40,18
38,16
56,29
69,35
81,45
45,21
28,8
30,9
19,8
45,9
41,16
39,19
68,35
60,31
42,17
24,15
52,16
105,18
69,16
47,14
31,12
72,30
78,35
54,26
48,22
51,26
38,20
34,18
25,10
23,11
93,73
41,30
28,6
49,9
34,7
20,10
163,31
101,12
39,9
30,11
88,18
75,15
42,12
11,7
29,12
58,14
186,23
81,16
27,9
20,11
23,11
24,11
25,12
21,9
34,9
34,12
22,10
27,14
12,7
13,4
10,4
18,13
21,14
26,15
28,13
31,17
31,15
17,10
25,16
34,22
38,23
30,19
17,9
13,6
22,13
10,7
99,17
99,19
76,20
46,17
50,25
37,17
29,9
6,3
6,2
24,11
23,10
35,16
34,17
23,13
24,14
20,13
19,12
17,12
27,17
21,12
16,11
23,14
24,16
25,16
22,15
21,14
23,17
23,15
36,22
22,10
9,6
19,11
25,16
16,8
10,6
17,7
18,9
11,5
25,9
9,5
14,8
16,8
9,4
10,6
21,12
34,22
33,18
15,9
43,23
48,26
37,17
32,11
33,8
37,9
20,6
7,3
13,4
9,3
8,5
25,16
25,18
14,8
23,8
13,5
14,5
32,20
42,32
37,29
32,24
34,26
33,24
29,20
24,14
24,15
20,11
25,16
31,23
25,18
19,12
14,8
7,4
28,13
31,18
37,24
32,21
41,31
29,19
30,15
30,19
31,21
24,16
23,13
23,14
13,6
13,7
20,9
28,16
30,18
24,15
19,6
9,5
18,7
22,13
16,9
25,13
29,18
26,14
26,14
22,11
19,7
21,10
27,17
30,17
25,13
25,17
12,8
17,11
16,6
10,3
13,6
23,13
30,15
13,3
16,8
17,8
16,8
22,8
23,8
11,6
26,18
49,27
19,9
21,6
14,6
15,8
14,6
23,5
14,5
21,10
15,7
13,7
17,8
23,12
24,12
25,13
26,14
24,13
29,10
19,6
20,8
22,9
14,4
17,5
22,8
23,10
26,12
30,16
34,19
41,17
28,11
25,13
24,13
30,15
28,12
20,11
24,13
22,11
29,14
27,7
23,9
18,11
24,14
14,6
11,6
12,5
12,6
15,8
21,13
23,15
12,5
14,6
27,10
26,13
19,10
14,9
55,28
13,5
10,6
14,9
29,17
29,14
20,11
13,7
13,8
19,11
28,14
17,10
22,14
59,35
53,11
65,18
46,15
37,17
29,14
6,3
10,6
10,5
10,4
10,4
13,5
10,7
10,6
19,9
12,8
13,9
14,12
24,16
31,20
27,18
34,23
41,27
60,42
50,33
51,35
51,39
20,13
21,12
29,20
73,57
105,87
194,57
111,32
76,29
50,30
41,28
24,15
9,10
20,16
23,12
19,10
23,13
48,28
59,25
76,21
20,9
32,23
54,33
20,10
13,7
13,11
31,20
29,13
45,15
42,13
30,12
45,22
39,14
32,15
43,29
48,35
42,33
78,59
74,57
50,37
27,22
41,36
60,52
67,53
36,24
47,33
39,30
38,29
53,40
42,29
37,11
30,16
35,25
33,21
58,38
30,14
29,17
39,28
29,21
36,23
38,11
35,15
47,25
69,45
62,40
52,26
50,23
54,34
77,36
102,31
55,21
39,10
48,10
29,9
69,10
59,19
51,24
76,45
69,42
70,37
47,24
98,43
127,23
61,16
60,18
39,18
71,29
73,35
64,33
57,29
64,35
54,34
40,24
29,19
19,17
125,109
77,58
43,12
63,16
40,12
40,17
253,40
123,23
44,18
44,25
103,35
82,27
59,23
36,26
27,18
49,23
135,29
89,25
49,18
32,16
26,15
28,16
31,16
29,17
41,16
48,21
32,15
32,17
22,11
3,4
6,8
15,13
28,21
33,19
36,20
41,26
39,25
28,17
25,18
32,20
46,26
31,17
24,17
20,15
23,17
20,12
110,34
93,31
49,23
39,18
32,17
31,16
16,9
6,6
17,14
30,21
22,17
28,19
37,21
30,20
26,17
22,17
23,17
20,15
28,23
20,17
12,13
18,14
23,13
26,16
25,15
31,22
27,17
28,18
33,23
34,23
13,10
24,15
34,21
34,19
25,13
17,8
29,17
21,11
29,17
16,8
14,9
37,19
52,24
37,18
32,11
42,20
39,17
35,13
32,14
23,10
24,11
15,5
13,8
14,3
4,2
34,10
45,24
43,25
22,10
10,6
13,7
10,7
14,5
23,10
30,18
25,12
22,12
22,12
37,20
37,23
22,14
16,11
24,13
27,12
16,8
30,16
33,21
35,26
34,28
37,27
22,16
20,13
23,18
27,21
30,20
23,16
23,15
16,9
19,10
27,14
38,20
40,26
28,20
20,9
26,12
31,14
44,27
39,21
28,16
36,20
36,20
37,21
32,17
30,13
35,19
41,23
38,20
36,18
15,5
10,5
13,6
10,4
10,4
16,9
20,12
13,7
21,12
21,13
16,8
20,10
15,9
11,6
28,19
52,35
21,12
23,9
15,8
17,11
14,10
32,7
20,9
24,14
20,14
17,11
19,12
22,14
24,15
26,15
24,15
22,15
27,11
22,8
21,10
22,14
16,5
16,5
18,6
21,10
23,13
25,16
38,26
57,26
30,12
27,14
29,16
35,17
33,18
25,13
22,14
21,16
24,17
28,9
25,9
18,7
21,13
18,7
16,7
16,6
16,5
22,11
26,14
25,16
15,5
19,6
37,14
27,13
26,14
23,12
70,34
15,4
14,4
29,18
29,14
30,12
26,13
17,5
19,8
24,12
33,16
19,7
30,17
69,46
65,12
83,22
51,19
43,30
27,16
10,5
27,18
23,12
16,6
21,9
23,14
29,17
37,23
34,20
42,28
50,33
66,47
52,37
51,36
13,8
9,3
9,4
12,4
15,6
14,4
81,48
28,8
34,13
35,15
75,47
69,41
130,39
103,28
81,28
43,15
31,9
32,12
26,12
27,10
39,13
30,9
27,10
57,24
69,18
97,27
27,8
23,7
48,18
29,11
19,7
20,7
36,15
33,10
70,7
37,7
57,22
38,8
31,7
49,20
40,18
29,10
51,27
57,29
41,18
29,11
44,22
32,13
51,28
43,16
35,16
34,18
34,16
33,13
50,24
48,8
29,10
35,14
26,10
61,33
35,10
31,10
32,12
29,11
42,19
42,8
34,8
71,31
76,38
59,23
75,31
58,22
72,32
108,56
99,41
59,19
47,6
58,10
32,10
67,12
45,11
51,18
87,37
75,29
33,13
22,7
74,26
120,24
93,21
80,18
46,13
84,29
110,43
69,29
51,20
73,30
60,24
43,13
35,11
30,13
62,38
82,48
48,11
90,10
48,8
41,11
320,45
107,17
45,10
40,16
106,30
100,25
79,17
37,15
47,20
89,21
225,39
80,17
34,9
20,7
42,16
32,12
37,12
45,18
46,12
53,16
40,13
35,14
16,5
16,4
22,8
28,13
34,16
38,16
50,18
52,20
45,16
20,6
31,13
54,25
55,24
52,21
20,6
26,9
40,16
31,12
138,30
110,27
61,20
42,14
61,21
41,16
26,7
21,5
17,3
31,9
32,11
31,11
52,19
31,9
28,9
17,11
19,10
16,9
29,17
25,14
14,8
17,10
18,10
21,12
25,13
19,10
25,14
27,16
32,17
27,16
15,9
22,12
26,15
24,12
12,6
10,4
11,5
12,5
14,7
13,6
14,8
21,12
13,6
20,12
28,18
38,22
25,16
14,7
21,13
27,15
21,11
18,9
16,7
15,5
8,3
9,3
10,3
9,4
13,7
16,8
21,12
11,4
11,4
11,5
13,4
15,8
22,15
16,9
19,13
17,11
19,12
23,13
18,10
17,7
14,5
19,11
19,11
17,7
17,5
30,13
28,16
28,18
23,15
25,14
19,10
19,11
14,6
16,11
18,11
16,9
14,6
10,5
11,5
25,10
22,10
21,12
12,6
9,4
9,4
14,6
15,6
18,10
11,3
20,11
23,11
19,10
18,10
24,11
22,7
20,8
19,9
20,8
20,13
30,22
12,6
13,4
11,4
10,3
12,4
14,6
22,10
16,5
17,6
22,7
30,8
28,9
16,6
19,10
32,21
50,28
21,10
32,9
15,4
21,7
16,6
33,6
18,7
20,9
20,7
18,8
25,11
19,8
23,12
22,12
24,13
33,11
22,5
20,7
16,5
21,6
22,5
24,7
20,8
20,9
20,9
27,15
46,18
33,14
28,11
21,9
24,9
20,9
22,8
26,12
23,10
17,6
17,7
30,9
35,11
23,10
23,11
25,7
19,6
18,6
17,7
19,8
24,13
28,12
26,8
25,9
33,12
39,16
21,11
21,9
62,28
23,7
16,6
14,7
42,21
50,20
31,11
18,8
14,6
22,11
35,16
20,9
23,12
63,37
68,16
69,20
43,15
23,10
13,6
14,3
16,5
17,9
16,6
16,6
12,4
10,5
11,5
26,13
11,5
31,20
38,24
33,21
34,21
58,41
42,29
67,45
56,39
29,15
30,16
39,23
78,59
105,85
129,75
75,33
80,34
57,30
53,33
53,30
29,20
13,7
18,9
27,14
33,20
57,32
60,32
71,24
22,15
31,24
46,33
22,11
16,8
20,16
29,18
28,16
44,21
42,16
35,21
47,29
38,20
35,22
40,30
52,45
60,48
71,59
76,65
44,39
22,22
42,40
44,40
33,26
48,38
33,28
30,26
34,29
51,39
36,33
27,13
28,18
29,22
43,33
58,42
27,16
29,20
38,30
39,29
39,28
42,11
40,20
72,47
86,62
72,52
69,38
56,31
58,34
85,44
86,44
51,23
37,10
39,16
29,13
58,16
50,19
52,27
62,39
63,42
57,32
49,21
62,36
158,42
77,19
57,21
39,18
88,40
74,36
60,29
65,35
54,32
38,23
46,28
24,14
15,11
55,49
83,60
49,10
68,15
40,13
40,15
221,33
152,31
76,23
41,19
82,28
75,26
49,20
34,17
37,19
59,22
208,36
123,27
44,15
23,14
31,15
28,17
31,17
35,18
44,15
52,21
30,15
37,18
30,15
9,6
10,6
30,23
29,20
38,22
41,23
37,21
32,20
36,23
24,15
33,18
49,24
44,19
30,19
15,10
22,14
40,15
126,32
57,22
43,21
39,17
27,14
31,17
16,10
9,4
15,7
23,11
26,15
33,17
32,17
24,13
27,16
24,13
33,18
31,19
30,18
26,21
21,19
21,15
25,18
23,18
24,21
27,22
30,25
27,22
51,29
26,18
20,16
20,18
20,18
24,20
24,21
7,6
26,17
25,17
12,7
18,13
21,15
21,15
7,7
13,9
18,11
9,7
8,5
13,9
35,28
33,29
19,14
13,9
11,7
15,7
14,8
15,10
22,16
28,25
25,22
29,25
8,8
36,22
21,14
25,18
33,24
22,15
24,13
15,12
25,20
25,18
32,26
30,23
22,17
20,15
26,21
24,19
15,11
15,12
15,11
8,7
24,13
30,19
34,24
34,26
32,23
36,28
24,17
22,16
18,11
24,19
22,15
24,19
18,14
14,10
23,16
31,21
32,25
25,17
15,12
14,9
23,16
30,23
28,20
18,15
19,14
20,15
21,15
21,16
20,13
25,19
27,20
33,23
35,25
28,21
14,11
13,10
17,11
19,10
17,10
31,22
35,26
16,11
23,17
19,14
17,12
18,12
16,15
18,15
38,29
53,41
28,23
25,17
19,14
20,15
21,17
37,12
20,12
24,18
16,13
18,15
26,19
23,18
21,15
28,19
28,23
25,19
34,19
24,14
25,17
31,24
15,9
18,8
24,12
31,20
30,22
31,21
45,33
52,29
43,27
31,21
38,24
36,23
47,28
35,20
32,18
32,23
28,21
23,8
22,8
17,9
29,17
18,11
21,14
24,17
24,15
26,17
43,30
38,31
12,8
15,9
37,19
32,18
27,19
32,21
69,35
13,5
18,10
21,15
23,16
36,20
28,18
16,7
23,15
33,22
37,24
36,25
42,28
76,57
59,16
71,24
57,28
53,33
26,14
4,2
10,5
15,10
5,5
7,4
23,19
26,21
17,10
21,14
24,19
25,21
41,34
45,38
47,37
54,44
67,56
68,60
34,30
43,31
21,13
27,18
30,19
63,47
95,70
127,78
77,36
66,27
58,32
47,31
41,29
20,17
6,7
7,7
23,16
32,21
54,27
44,22
72,22
26,14
31,19
51,28
26,12
20,10
25,19
34,21
33,15
48,16
48,16
36,19
51,24
42,18
50,26
50,31
66,47
72,50
73,52
83,59
48,34
23,20
50,42
49,40
31,21
47,33
14,11
20,16
46,34
61,43
41,31
33,11
30,16
29,19
49,31
62,37
36,16
36,20
39,25
40,24
43,23
55,10
49,18
74,40
85,52
62,37
62,29
59,27
65,29
89,29
89,37
57,20
37,8
42,12
33,12
74,11
51,13
54,21
77,41
65,37
56,23
36,15
35,16
160,29
83,14
68,16
43,16
91,36
88,35
61,24
66,30
60,30
40,20
41,24
19,8
13,8
41,33
76,46
41,6
60,11
38,9
41,15
286,33
79,18
40,16
82,22
78,21
49,17
35,15
37,16
87,20
38,11
22,10
33,16
25,15
33,15
34,16
41,12
187,30
139,25
254,36
33,14
34,17
6,5
6,5
30,22
28,17
35,18
42,21
37,22
33,17
35,19
25,13
29,17
50,21
40,16
29,17
15,10
23,13
46,14
137,31
38,13
27,12
32,14
29,12
28,17
17,11
7,4
12,6
18,9
52,18
25,10
24,14
38,20
37,18
25,12
26,13
27,14
34,17
29,18
26,16
27,15
24,16
24,14
31,20
25,15
25,16
36,22
30,19
25,14
35,20
20,11
16,9
23,15
23,13
22,13
19,14
10,5
18,11
20,11
26,16
10,8
19,11
30,17
20,15
20,12
39,18
25,13
10,6
24,16
19,14
18,12
17,12
21,14
7,6
8,8
20,12
11,7
7,4
13,9
36,27
42,32
22,17
13,10
11,7
14,9
13,6
14,9
23,14
28,21
31,23
29,22
29,22
33,25
28,18
28,16
26,17
23,14
12,7
11,7
11,7
4,4
20,11
25,14
26,17
26,17
25,14
30,18
24,17
19,12
10,7
24,14
19,11
29,20
21,12
10,6
18,9
35,21
26,15
16,9
14,9
13,6
20,11
21,13
20,13
13,8
14,7
19,9
19,9
19,9
18,7
20,11
17,10
27,15
34,21
21,14
7,5
8,5
12,8
13,5
16,9
29,15
33,21
9,5
15,7
14,8
14,6
13,5
8,4
10,7
37,22
56,30
25,14
24,10
15,8
17,8
20,11
43,8
21,9
18,9
12,6
13,7
16,11
19,9
20,9
30,14
26,16
25,15
38,16
30,11
30,13
28,16
20,6
20,7
24,8
32,14
32,17
37,22
49,29
55,27
32,16
31,15
39,20
52,27
50,26
38,21
36,18
35,22
19,12
24,10
25,9
20,10
27,14
26,14
24,13
20,13
22,12
29,15
48,29
60,42
15,9
19,10
35,16
31,17
29,16
32,17
61,27
18,6
18,9
24,16
18,14
22,10
24,14
19,7
19,9
28,16
34,18
37,22
42,27
64,42
58,15
71,22
61,27
50,26
17,7
5,2
9,4
8,3
6,4
8,4
12,6
13,7
19,12
31,20
15,8
17,8
20,12
27,18
37,26
36,24
40,26
54,37
65,45
77,57
30,23
40,33
20,10
18,10
24,14
67,38
72,46
81,56
49,31
71,35
47,27
38,24
49,32
21,18
16,13
10,8
20,16
21,15
41,26
42,25
62,27
15,10
15,11
30,18
31,17
9,8
15,14
22,16
18,13
28,15
27,15
29,18
54,34
34,23
34,24
30,21
34,30
37,30
40,31
46,34
36,29
10,8
34,30
32,30
26,21
21,15
12,10
25,17
33,26
29,25
23,21
30,13
20,13
24,17
32,25
57,42
25,18
33,25
45,32
38,28
31,23
29,16
40,20
53,28
29,18
56,34
63,35
60,34
40,24
72,32
101,48
46,25
36,21
63,21
32,16
50,16
39,14
28,12
53,28
64,33
47,23
13,8
9,8
104,24
103,20
89,24
38,16
52,27
99,46
86,49
57,30
64,34
29,19
17,10
23,13
25,17
27,21
66,44
30,12
39,13
61,25
36,18
227,39
90,25
54,23
15,10
65,24
93,33
71,26
44,23
47,24
206,37
240,41
46,14
29,11
21,13
34,19
32,18
36,21
22,14
38,16
50,26
45,28
47,31
36,21
26,15
12,10
31,22
24,17
48,35
46,26
36,20
36,19
23,18
32,25
59,39
65,46
66,43
45,33
16,11
23,16
47,32
136,37
92,29
34,18
35,20
37,23
36,22
28,18
16,11
14,8
22,12
31,20
32,22
40,22
26,15
36,18
29,21
50,32
38,23
39,30
36,28
30,23
36,26
37,26
35,26
30,21
47,36
37,26
46,33
40,24
24,11
27,20
41,24
24,14
16,11
21,15
22,15
30,19
35,19
37,23
39,25
30,23
35,25
33,24
27,21
29,20
60,31
41,29
29,23
48,39
49,35
35,23
26,20
37,23
31,21
26,16
18,14
25,14
32,24
17,10
46,34
22,16
25,16
23,16
21,13
25,14
32,24
45,32
44,33
35,30
29,23
35,25
23,16
35,24
28,20
25,15
23,15
13,11
17,12
18,11
17,13
28,15
27,17
31,20
24,19
20,15
18,13
24,14
16,10
16,12
30,25
27,22
35,26
38,29
35,24
28,18
22,16
27,18
22,17
21,15
30,20
29,18
22,14
19,14
15,12
15,10
21,13
20,12
23,13
23,13
16,9
12,7
11,8
18,10
28,21
22,17
16,13
15,11
19,14
13,10
27,20
33,25
39,29
17,12
21,13
16,11
19,11
22,11
19,15
26,15
13,5
41,25
25,16
25,10
17,6
18,7
19,7
25,7
33,10
20,8
12,4
14,4
21,10
22,7
18,6
19,8
28,15
17,9
37,17
38,16
42,21
33,17
18,4
18,4
15,7
34,13
37,17
37,20
44,24
48,22
22,9
18,7
36,18
52,29
49,24
46,24
42,19
28,15
33,21
29,11
27,9
24,9
32,16
22,11
18,8
14,6
16,6
24,10
31,16
36,19
20,9
13,6
21,8
43,18
46,24
46,23
49,23
25,8
18,4
19,9
36,15
38,13
32,13
22,7
21,6
21,10
39,23
35,17
30,13
53,31
59,22
84,25
55,19
66,27
39,16
12,3
16,4
18,6
11,9
11,3
8,5
15,7
19,6
30,19
18,9
17,4
11,5
16,11
27,17
35,18
42,24
49,29
52,34
46,32
25,18
